# Contains the deviations from the hermiticity given by the epsilon-g formula
# Computed at T=0 and U=-2
# System size ;U=-1; U=-2;U=-3

2;0.0562181;0.0985688;0.12627
4;0.0276398;0.0377415;0.0307874
10;0.00634705;0.00153609;0.000560942
20;0.000350842;4.89549e-05;7.17703e-07
30;0.00020795;3.29093e-07;8.81782e-10
40;1.64325e-05;4.12006e-09;1.1081e-12
50;7.67161e-06;9.39475e-11;2.00474e-14
60;7.6136e-07;3.6809e-13;8.34678e-14
70;2.63165e-07;7.16468e-15;3.41042e-14
80;3.52028e-08;8.24016e-14;1.6599e-14
90;7.91807e-09;4.20854e-14;9.659e-15
100;1.51425e-09;4.42179e-14;5.78706e-14
110;1.99115e-10;7.59355e-14;3.88007e-14
120;5.89631e-11;9.95071e-14;5.76598e-14
